LECROYWRHRO66Zi,58279,Histogram
Segments,1,SegmentSize,993
Segment,TrigTime,TimeSinceSegment1
#1,11-Feb-2016 21:04:34,0                 
Time,Ampl
-9.3e-008,0
-9.2e-008,1
-9.1e-008,0
-9e-008,0
-8.9e-008,0
-8.8e-008,0
-8.7e-008,0
-8.6e-008,0
-8.5e-008,0
-8.4e-008,1
-8.3e-008,0
-8.2e-008,1
-8.1e-008,0
-8e-008,0
-7.9e-008,0
-7.8e-008,0
-7.7e-008,0
-7.6e-008,0
-7.5e-008,0
-7.4e-008,0
-7.3e-008,0
-7.2e-008,1
-7.1e-008,0
-7e-008,0
-6.9e-008,0
-6.8e-008,0
-6.7e-008,1
-6.6e-008,1
-6.5e-008,0
-6.4e-008,1
-6.3e-008,0
-6.2e-008,0
-6.1e-008,0
-6e-008,0
-5.9e-008,1
-5.8e-008,0
-5.7e-008,0
-5.6e-008,1
-5.5e-008,1
-5.4e-008,0
-5.3e-008,0
-5.2e-008,0
-5.1e-008,0
-5e-008,0
-4.9e-008,0
-4.8e-008,1
-4.7e-008,3
-4.6e-008,1
-4.5e-008,0
-4.4e-008,0
-4.3e-008,1
-4.2e-008,0
-4.1e-008,2
-4e-008,1
-3.9e-008,1
-3.8e-008,2
-3.7e-008,3
-3.6e-008,1
-3.5e-008,4
-3.4e-008,3
-3.3e-008,2
-3.2e-008,6
-3.1e-008,4
-3e-008,6
-2.9e-008,9
-2.8e-008,4
-2.7e-008,13
-2.6e-008,11
-2.5e-008,8
-2.4e-008,16
-2.3e-008,19
-2.2e-008,23
-2.1e-008,19
-2e-008,26
-1.9e-008,24
-1.8e-008,35
-1.7e-008,46
-1.6e-008,42
-1.5e-008,46
-1.4e-008,65
-1.3e-008,85
-1.2e-008,86
-1.1e-008,102
-1e-008,96
-9e-009,125
-8e-009,125
-7e-009,187
-6e-009,170
-5e-009,170
-4e-009,185
-3e-009,236
-2e-009,217
-1e-009,223
-1.29e-022,236
1e-009,240
2e-009,255
3e-009,271
4e-009,269
5e-009,294
6e-009,279
7e-009,292
8e-009,290
9e-009,328
1e-008,321
1.1e-008,338
1.2e-008,296
1.3e-008,330
1.4e-008,264
1.5e-008,269
1.6e-008,324
1.7e-008,269
1.8e-008,285
1.9e-008,253
2e-008,292
2.1e-008,257
2.2e-008,278
2.3e-008,267
2.4e-008,230
2.5e-008,232
2.6e-008,245
2.7e-008,251
2.8e-008,244
2.9e-008,239
3e-008,227
3.1e-008,251
3.2e-008,240
3.3e-008,228
3.4e-008,193
3.5e-008,229
3.6e-008,219
3.7e-008,236
3.8e-008,217
3.9e-008,188
4e-008,204
4.1e-008,186
4.2e-008,210
4.3e-008,194
4.4e-008,204
4.5e-008,210
4.6e-008,164
4.7e-008,178
4.8e-008,196
4.9e-008,195
5e-008,168
5.1e-008,183
5.2e-008,162
5.3e-008,206
5.4e-008,188
5.5e-008,150
5.6e-008,169
5.7e-008,171
5.8e-008,148
5.9e-008,164
6e-008,140
6.1e-008,154
6.2e-008,159
6.3e-008,149
6.4e-008,137
6.5e-008,132
6.6e-008,133
6.7e-008,149
6.8e-008,134
6.9e-008,142
7e-008,155
7.1e-008,138
7.2e-008,134
7.3e-008,124
7.4e-008,142
7.5e-008,131
7.6e-008,123
7.7e-008,132
7.8e-008,120
7.9e-008,154
8e-008,166
8.1e-008,149
8.2e-008,124
8.3e-008,114
8.4e-008,151
8.5e-008,128
8.6e-008,111
8.7e-008,102
8.8e-008,113
8.9e-008,125
9e-008,103
9.1e-008,108
9.2e-008,111
9.3e-008,100
9.4e-008,109
9.5e-008,117
9.6e-008,110
9.7e-008,92
9.8e-008,118
9.9e-008,113
1e-007,96
1.01e-007,102
1.02e-007,103
1.03e-007,106
1.04e-007,110
1.05e-007,100
1.06e-007,101
1.07e-007,104
1.08e-007,104
1.09e-007,86
1.1e-007,96
1.11e-007,102
1.12e-007,82
1.13e-007,102
1.14e-007,95
1.15e-007,95
1.16e-007,84
1.17e-007,94
1.18e-007,103
1.19e-007,75
1.2e-007,97
1.21e-007,94
1.22e-007,83
1.23e-007,78
1.24e-007,91
1.25e-007,84
1.26e-007,77
1.27e-007,86
1.28e-007,88
1.29e-007,79
1.3e-007,93
1.31e-007,89
1.32e-007,87
1.33e-007,86
1.34e-007,77
1.35e-007,85
1.36e-007,88
1.37e-007,84
1.38e-007,69
1.39e-007,82
1.4e-007,92
1.41e-007,93
1.42e-007,83
1.43e-007,71
1.44e-007,77
1.45e-007,81
1.46e-007,90
1.47e-007,76
1.48e-007,84
1.49e-007,66
1.5e-007,74
1.51e-007,90
1.52e-007,71
1.53e-007,85
1.54e-007,81
1.55e-007,73
1.56e-007,96
1.57e-007,71
1.58e-007,64
1.59e-007,68
1.6e-007,88
1.61e-007,88
1.62e-007,80
1.63e-007,63
1.64e-007,79
1.65e-007,66
1.66e-007,74
1.67e-007,78
1.68e-007,75
1.69e-007,80
1.7e-007,84
1.71e-007,72
1.72e-007,74
1.73e-007,78
1.74e-007,71
1.75e-007,70
1.76e-007,87
1.77e-007,69
1.78e-007,73
1.79e-007,75
1.8e-007,68
1.81e-007,66
1.82e-007,63
1.83e-007,60
1.84e-007,75
1.85e-007,72
1.86e-007,70
1.87e-007,77
1.88e-007,63
1.89e-007,73
1.9e-007,85
1.91e-007,81
1.92e-007,65
1.93e-007,53
1.94e-007,63
1.95e-007,72
1.96e-007,64
1.97e-007,62
1.98e-007,67
1.99e-007,88
2e-007,70
2.01e-007,58
2.02e-007,78
2.03e-007,73
2.04e-007,72
2.05e-007,54
2.06e-007,68
2.07e-007,59
2.08e-007,46
2.09e-007,73
2.1e-007,66
2.11e-007,60
2.12e-007,61
2.13e-007,75
2.14e-007,61
2.15e-007,51
2.16e-007,70
2.17e-007,65
2.18e-007,54
2.19e-007,53
2.2e-007,63
2.21e-007,44
2.22e-007,61
2.23e-007,62
2.24e-007,51
2.25e-007,51
2.26e-007,59
2.27e-007,53
2.28e-007,55
2.29e-007,67
2.3e-007,58
2.31e-007,51
2.32e-007,61
2.33e-007,43
2.34e-007,48
2.35e-007,65
2.36e-007,60
2.37e-007,56
2.38e-007,70
2.39e-007,43
2.4e-007,46
2.41e-007,47
2.42e-007,58
2.43e-007,59
2.44e-007,45
2.45e-007,52
2.46e-007,52
2.47e-007,53
2.48e-007,43
2.49e-007,42
2.5e-007,51
2.51e-007,44
2.52e-007,52
2.53e-007,49
2.54e-007,50
2.55e-007,41
2.56e-007,55
2.57e-007,49
2.58e-007,38
2.59e-007,49
2.6e-007,43
2.61e-007,50
2.62e-007,60
2.63e-007,41
2.64e-007,37
2.65e-007,50
2.66e-007,57
2.67e-007,50
2.68e-007,36
2.69e-007,48
2.7e-007,36
2.71e-007,45
2.72e-007,48
2.73e-007,52
2.74e-007,42
2.75e-007,49
2.76e-007,43
2.77e-007,41
2.78e-007,44
2.79e-007,45
2.8e-007,30
2.81e-007,52
2.82e-007,42
2.83e-007,40
2.84e-007,37
2.85e-007,45
2.86e-007,41
2.87e-007,43
2.88e-007,42
2.89e-007,38
2.9e-007,52
2.91e-007,43
2.92e-007,45
2.93e-007,30
2.94e-007,47
2.95e-007,41
2.96e-007,45
2.97e-007,39
2.98e-007,39
2.99e-007,48
3e-007,50
3.01e-007,39
3.02e-007,56
3.03e-007,48
3.04e-007,38
3.05e-007,33
3.06e-007,45
3.07e-007,37
3.08e-007,28
3.09e-007,36
3.1e-007,33
3.11e-007,45
3.12e-007,47
3.13e-007,50
3.14e-007,43
3.15e-007,30
3.16e-007,42
3.17e-007,35
3.18e-007,32
3.19e-007,36
3.2e-007,45
3.21e-007,47
3.22e-007,46
3.23e-007,40
3.24e-007,44
3.25e-007,37
3.26e-007,46
3.27e-007,31
3.28e-007,34
3.29e-007,33
3.3e-007,38
3.31e-007,45
3.32e-007,38
3.33e-007,47
3.34e-007,36
3.35e-007,31
3.36e-007,33
3.37e-007,38
3.38e-007,41
3.39e-007,28
3.4e-007,37
3.41e-007,37
3.42e-007,39
3.43e-007,40
3.44e-007,34
3.45e-007,37
3.46e-007,40
3.47e-007,33
3.48e-007,30
3.49e-007,38
3.5e-007,37
3.51e-007,29
3.52e-007,46
3.53e-007,34
3.54e-007,37
3.55e-007,29
3.56e-007,35
3.57e-007,40
3.58e-007,44
3.59e-007,39
3.6e-007,21
3.61e-007,34
3.62e-007,30
3.63e-007,39
3.64e-007,29
3.65e-007,45
3.66e-007,30
3.67e-007,44
3.68e-007,28
3.69e-007,34
3.7e-007,32
3.71e-007,22
3.72e-007,35
3.73e-007,31
3.74e-007,29
3.75e-007,35
3.76e-007,31
3.77e-007,40
3.78e-007,35
3.79e-007,21
3.8e-007,41
3.81e-007,28
3.82e-007,28
3.83e-007,31
3.84e-007,30
3.85e-007,34
3.86e-007,43
3.87e-007,27
3.88e-007,35
3.89e-007,23
3.9e-007,39
3.91e-007,38
3.92e-007,30
3.93e-007,32
3.94e-007,38
