LECROYWRHRO66Zi,58279,Histogram
Segments,1,SegmentSize,993
Segment,TrigTime,TimeSinceSegment1
#1,11-Feb-2016 21:43:12,0                 
Time,Ampl
-1.86e-007,0
-1.84e-007,0
-1.82e-007,0
-1.8e-007,0
-1.78e-007,0
-1.76e-007,0
-1.74e-007,0
-1.72e-007,0
-1.7e-007,0
-1.68e-007,0
-1.66e-007,0
-1.64e-007,0
-1.62e-007,0
-1.6e-007,0
-1.58e-007,0
-1.56e-007,0
-1.54e-007,0
-1.52e-007,0
-1.5e-007,0
-1.48e-007,0
-1.46e-007,0
-1.44e-007,0
-1.42e-007,0
-1.4e-007,0
-1.38e-007,0
-1.36e-007,0
-1.34e-007,0
-1.32e-007,0
-1.3e-007,0
-1.28e-007,0
-1.26e-007,0
-1.24e-007,0
-1.22e-007,0
-1.2e-007,0
-1.18e-007,0
-1.16e-007,0
-1.14e-007,0
-1.12e-007,0
-1.1e-007,0
-1.08e-007,0
-1.06e-007,0
-1.04e-007,0
-1.02e-007,0
-1e-007,0
-9.8e-008,0
-9.6e-008,0
-9.4e-008,0
-9.2e-008,0
-9e-008,0
-8.8e-008,0
-8.6e-008,0
-8.4e-008,0
-8.2e-008,0
-8e-008,0
-7.8e-008,0
-7.6e-008,0
-7.4e-008,0
-7.2e-008,0
-7e-008,0
-6.8e-008,0
-6.6e-008,0
-6.4e-008,0
-6.2e-008,0
-6e-008,0
-5.8e-008,0
-5.6e-008,0
-5.4e-008,0
-5.2e-008,0
-5e-008,0
-4.8e-008,1
-4.6e-008,0
-4.4e-008,0
-4.2e-008,0
-4e-008,0
-3.8e-008,1
-3.6e-008,0
-3.4e-008,0
-3.2e-008,0
-3e-008,0
-2.8e-008,1
-2.6e-008,0
-2.4e-008,0
-2.2e-008,3
-2e-008,1
-1.8e-008,2
-1.6e-008,1
-1.4e-008,1
-1.2e-008,5
-1e-008,3
-8e-009,9
-6e-009,5
-4e-009,10
-2e-009,13
-2.581e-022,13
2e-009,14
4e-009,18
6e-009,20
8e-009,21
1e-008,29
1.2e-008,38
1.4e-008,48
1.6e-008,40
1.8e-008,51
2e-008,44
2.2e-008,47
2.4e-008,56
2.6e-008,62
2.8e-008,52
3e-008,75
3.2e-008,64
3.4e-008,58
3.6e-008,55
3.8e-008,43
4e-008,38
4.2e-008,48
4.4e-008,30
4.6e-008,35
4.8e-008,32
5e-008,37
5.2e-008,24
5.4e-008,19
5.6e-008,28
5.8e-008,18
6e-008,24
6.2e-008,18
6.4e-008,13
6.6e-008,16
6.8e-008,17
7e-008,20
7.2e-008,21
7.4e-008,14
7.6e-008,12
7.8e-008,19
8e-008,28
8.2e-008,13
8.4e-008,12
8.6e-008,10
8.8e-008,20
9e-008,15
9.2e-008,11
9.4e-008,19
9.6e-008,12
9.8e-008,16
1e-007,18
1.02e-007,14
1.04e-007,9
1.06e-007,12
1.08e-007,15
1.1e-007,16
1.12e-007,17
1.14e-007,12
1.16e-007,15
1.18e-007,14
1.2e-007,8
1.22e-007,15
1.24e-007,16
1.26e-007,11
1.28e-007,17
1.3e-007,12
1.32e-007,14
1.34e-007,14
1.36e-007,16
1.38e-007,7
1.4e-007,15
1.42e-007,15
1.44e-007,17
1.46e-007,17
1.48e-007,16
1.5e-007,22
1.52e-007,12
1.54e-007,17
1.56e-007,17
1.58e-007,7
1.6e-007,19
1.62e-007,12
1.64e-007,18
1.66e-007,20
1.68e-007,27
1.7e-007,16
1.72e-007,12
1.74e-007,16
1.76e-007,24
1.78e-007,18
1.8e-007,27
1.82e-007,22
1.84e-007,34
1.86e-007,23
1.88e-007,34
1.9e-007,35
1.92e-007,36
1.94e-007,23
1.96e-007,36
1.98e-007,30
2e-007,32
2.02e-007,50
2.04e-007,32
2.06e-007,36
2.08e-007,38
2.1e-007,38
2.12e-007,57
2.14e-007,37
2.16e-007,46
2.18e-007,46
2.2e-007,62
2.22e-007,46
2.24e-007,47
2.26e-007,50
2.28e-007,65
2.3e-007,69
2.32e-007,60
2.34e-007,59
2.36e-007,46
2.38e-007,67
2.4e-007,65
2.42e-007,69
2.44e-007,73
2.46e-007,67
2.48e-007,92
2.5e-007,53
2.52e-007,82
2.54e-007,66
2.56e-007,94
2.58e-007,84
2.6e-007,81
2.62e-007,94
2.64e-007,80
2.66e-007,95
2.68e-007,93
2.7e-007,108
2.72e-007,91
2.74e-007,97
2.76e-007,94
2.78e-007,94
2.8e-007,116
2.82e-007,91
2.84e-007,108
2.86e-007,95
2.88e-007,94
2.9e-007,106
2.92e-007,101
2.94e-007,117
2.96e-007,114
2.98e-007,104
3e-007,117
3.02e-007,98
3.04e-007,96
3.06e-007,107
3.08e-007,104
3.1e-007,106
3.12e-007,128
3.14e-007,102
3.16e-007,105
3.18e-007,110
3.2e-007,108
3.22e-007,119
3.24e-007,118
3.26e-007,112
3.28e-007,88
3.3e-007,97
3.32e-007,84
3.34e-007,92
3.36e-007,103
3.38e-007,87
3.4e-007,90
3.42e-007,90
3.44e-007,89
3.46e-007,94
3.48e-007,77
3.5e-007,70
3.52e-007,79
3.54e-007,72
3.56e-007,81
3.58e-007,76
3.6e-007,82
3.62e-007,55
3.64e-007,72
3.66e-007,55
3.68e-007,71
3.7e-007,63
3.72e-007,56
3.74e-007,71
3.76e-007,74
3.78e-007,63
3.8e-007,66
3.82e-007,43
3.84e-007,68
3.86e-007,49
3.88e-007,50
3.9e-007,56
3.92e-007,45
3.94e-007,50
3.96e-007,44
3.98e-007,50
4e-007,52
4.02e-007,39
4.04e-007,43
4.06e-007,28
4.08e-007,46
4.1e-007,41
4.12e-007,29
4.14e-007,38
4.16e-007,36
4.18e-007,28
4.2e-007,44
4.22e-007,37
4.24e-007,23
4.26e-007,33
4.28e-007,27
4.3e-007,21
4.32e-007,24
4.34e-007,25
4.36e-007,21
4.38e-007,24
4.4e-007,14
4.42e-007,22
4.44e-007,28
4.46e-007,17
4.48e-007,21
4.5e-007,16
4.52e-007,13
4.54e-007,14
4.56e-007,16
4.58e-007,10
4.6e-007,19
4.62e-007,15
4.64e-007,15
4.66e-007,8
4.68e-007,10
4.7e-007,12
4.72e-007,9
4.74e-007,10
4.76e-007,10
4.78e-007,12
4.8e-007,6
4.82e-007,10
4.84e-007,6
4.86e-007,8
4.88e-007,9
4.9e-007,9
4.92e-007,5
4.94e-007,7
4.96e-007,10
4.98e-007,8
5e-007,3
5.02e-007,3
5.04e-007,4
5.06e-007,4
5.08e-007,4
5.1e-007,5
5.12e-007,5
5.14e-007,3
5.16e-007,7
5.18e-007,1
5.2e-007,1
5.22e-007,5
5.24e-007,6
5.26e-007,2
5.28e-007,3
5.3e-007,3
5.32e-007,5
5.34e-007,4
5.36e-007,0
5.38e-007,2
5.4e-007,2
5.42e-007,3
5.44e-007,1
5.46e-007,2
5.48e-007,2
5.5e-007,3
5.52e-007,0
5.54e-007,1
5.56e-007,2
5.58e-007,1
5.6e-007,1
5.62e-007,0
5.64e-007,0
5.66e-007,1
5.68e-007,1
5.7e-007,3
5.72e-007,2
5.74e-007,0
5.76e-007,1
5.78e-007,2
5.8e-007,3
5.82e-007,1
5.84e-007,2
5.86e-007,0
5.88e-007,1
5.9e-007,0
5.92e-007,1
5.94e-007,1
5.96e-007,1
5.98e-007,3
6e-007,2
6.02e-007,1
6.04e-007,0
6.06e-007,1
6.08e-007,2
6.1e-007,3
6.12e-007,0
6.14e-007,0
6.16e-007,1
6.18e-007,0
6.2e-007,1
6.22e-007,3
6.24e-007,0
6.26e-007,1
6.28e-007,0
6.3e-007,3
6.32e-007,0
6.34e-007,0
6.36e-007,0
6.38e-007,2
6.4e-007,1
6.42e-007,0
6.44e-007,1
6.46e-007,1
6.48e-007,2
6.5e-007,0
6.52e-007,0
6.54e-007,0
6.56e-007,2
6.58e-007,0
6.6e-007,1
6.62e-007,2
6.64e-007,2
6.66e-007,4
6.68e-007,1
6.7e-007,0
6.72e-007,1
6.74e-007,1
6.76e-007,2
6.78e-007,2
6.8e-007,0
6.82e-007,3
6.84e-007,0
6.86e-007,0
6.88e-007,0
6.9e-007,1
6.92e-007,1
6.94e-007,0
6.96e-007,1
6.98e-007,0
7e-007,0
7.02e-007,0
7.04e-007,0
7.06e-007,0
7.08e-007,0
7.1e-007,3
7.12e-007,2
7.14e-007,2
7.16e-007,0
7.18e-007,0
7.2e-007,3
7.22e-007,0
7.24e-007,1
7.26e-007,3
7.28e-007,1
7.3e-007,1
7.32e-007,1
7.34e-007,0
7.36e-007,1
7.38e-007,0
7.4e-007,0
7.42e-007,0
7.44e-007,0
7.46e-007,3
7.48e-007,2
7.5e-007,3
7.52e-007,5
7.54e-007,1
7.56e-007,1
7.58e-007,4
7.6e-007,1
7.62e-007,0
7.64e-007,1
7.66e-007,1
7.68e-007,0
7.7e-007,2
7.72e-007,1
7.74e-007,1
7.76e-007,0
7.78e-007,1
7.8e-007,1
7.82e-007,2
7.84e-007,3
7.86e-007,0
7.88e-007,0
7.9e-007,1
7.92e-007,2
7.94e-007,4
7.96e-007,1
7.98e-007,2
8e-007,0
8.02e-007,0
8.04e-007,1
8.06e-007,0
8.08e-007,1
8.1e-007,2
8.12e-007,2
8.14e-007,1
8.16e-007,1
8.18e-007,0
8.2e-007,0
8.22e-007,0
8.24e-007,1
8.26e-007,0
8.28e-007,2
8.3e-007,1
8.32e-007,1
8.34e-007,0
8.36e-007,1
8.38e-007,0
8.4e-007,2
8.42e-007,0
8.44e-007,0
8.46e-007,1
8.48e-007,2
8.5e-007,0
8.52e-007,0
8.54e-007,0
8.56e-007,0
8.58e-007,1
8.6e-007,0
8.62e-007,3
8.64e-007,1
8.66e-007,3
8.68e-007,0
8.7e-007,1
8.72e-007,0
8.74e-007,2
8.76e-007,1
