LECROYWRHRO66Zi,58279,Histogram
Segments,1,SegmentSize,993
Segment,TrigTime,TimeSinceSegment1
#1,11-Feb-2016 21:49:49,0                 
Time,Ampl
-1.86e-007,0
-1.84e-007,0
-1.82e-007,0
-1.8e-007,0
-1.78e-007,0
-1.76e-007,0
-1.74e-007,0
-1.72e-007,0
-1.7e-007,0
-1.68e-007,0
-1.66e-007,0
-1.64e-007,0
-1.62e-007,0
-1.6e-007,0
-1.58e-007,0
-1.56e-007,0
-1.54e-007,0
-1.52e-007,0
-1.5e-007,1
-1.48e-007,0
-1.46e-007,0
-1.44e-007,0
-1.42e-007,0
-1.4e-007,0
-1.38e-007,0
-1.36e-007,0
-1.34e-007,0
-1.32e-007,0
-1.3e-007,0
-1.28e-007,0
-1.26e-007,0
-1.24e-007,0
-1.22e-007,0
-1.2e-007,0
-1.18e-007,0
-1.16e-007,1
-1.14e-007,0
-1.12e-007,0
-1.1e-007,0
-1.08e-007,0
-1.06e-007,0
-1.04e-007,0
-1.02e-007,0
-1e-007,0
-9.8e-008,0
-9.6e-008,1
-9.4e-008,0
-9.2e-008,0
-9e-008,0
-8.8e-008,0
-8.6e-008,0
-8.4e-008,0
-8.2e-008,0
-8e-008,0
-7.8e-008,0
-7.6e-008,1
-7.4e-008,1
-7.2e-008,0
-7e-008,0
-6.8e-008,0
-6.6e-008,0
-6.4e-008,0
-6.2e-008,0
-6e-008,0
-5.8e-008,0
-5.6e-008,1
-5.4e-008,0
-5.2e-008,1
-5e-008,0
-4.8e-008,0
-4.6e-008,1
-4.4e-008,1
-4.2e-008,0
-4e-008,2
-3.8e-008,2
-3.6e-008,5
-3.4e-008,2
-3.2e-008,4
-3e-008,1
-2.8e-008,4
-2.6e-008,2
-2.4e-008,3
-2.2e-008,6
-2e-008,4
-1.8e-008,1
-1.6e-008,2
-1.4e-008,6
-1.2e-008,3
-1e-008,11
-8e-009,7
-6e-009,8
-4e-009,15
-2e-009,24
-2.581e-022,19
2e-009,23
4e-009,27
6e-009,39
8e-009,26
1e-008,48
1.2e-008,44
1.4e-008,71
1.6e-008,67
1.8e-008,98
2e-008,79
2.2e-008,91
2.4e-008,125
2.6e-008,131
2.8e-008,167
3e-008,162
3.2e-008,164
3.4e-008,172
3.6e-008,199
3.8e-008,218
4e-008,232
4.2e-008,238
4.4e-008,237
4.6e-008,217
4.8e-008,258
5e-008,253
5.2e-008,276
5.4e-008,281
5.6e-008,293
5.8e-008,273
6e-008,238
6.2e-008,274
6.4e-008,246
6.6e-008,239
6.8e-008,256
7e-008,254
7.2e-008,217
7.4e-008,265
7.6e-008,264
7.8e-008,247
8e-008,219
8.2e-008,249
8.4e-008,229
8.6e-008,239
8.8e-008,232
9e-008,210
9.2e-008,253
9.4e-008,229
9.6e-008,176
9.8e-008,207
1e-007,184
1.02e-007,199
1.04e-007,195
1.06e-007,163
1.08e-007,177
1.1e-007,179
1.12e-007,187
1.14e-007,196
1.16e-007,146
1.18e-007,171
1.2e-007,173
1.22e-007,187
1.24e-007,183
1.26e-007,170
1.28e-007,161
1.3e-007,153
1.32e-007,162
1.34e-007,162
1.36e-007,162
1.38e-007,152
1.4e-007,151
1.42e-007,139
1.44e-007,154
1.46e-007,128
1.48e-007,128
1.5e-007,153
1.52e-007,141
1.54e-007,134
1.56e-007,151
1.58e-007,161
1.6e-007,130
1.62e-007,134
1.64e-007,123
1.66e-007,126
1.68e-007,170
1.7e-007,119
1.72e-007,138
1.74e-007,148
1.76e-007,115
1.78e-007,122
1.8e-007,113
1.82e-007,129
1.84e-007,120
1.86e-007,118
1.88e-007,130
1.9e-007,121
1.92e-007,119
1.94e-007,124
1.96e-007,128
1.98e-007,123
2e-007,116
2.02e-007,101
2.04e-007,132
2.06e-007,103
2.08e-007,117
2.1e-007,99
2.12e-007,138
2.14e-007,109
2.16e-007,123
2.18e-007,106
2.2e-007,123
2.22e-007,109
2.24e-007,111
2.26e-007,109
2.28e-007,95
2.3e-007,89
2.32e-007,99
2.34e-007,107
2.36e-007,94
2.38e-007,111
2.4e-007,86
2.42e-007,112
2.44e-007,101
2.46e-007,91
2.48e-007,104
2.5e-007,84
2.52e-007,110
2.54e-007,91
2.56e-007,101
2.58e-007,90
2.6e-007,94
2.62e-007,107
2.64e-007,100
2.66e-007,90
2.68e-007,86
2.7e-007,97
2.72e-007,111
2.74e-007,93
2.76e-007,70
2.78e-007,90
2.8e-007,98
2.82e-007,84
2.84e-007,90
2.86e-007,92
2.88e-007,102
2.9e-007,79
2.92e-007,85
2.94e-007,85
2.96e-007,97
2.98e-007,90
3e-007,97
3.02e-007,100
3.04e-007,100
3.06e-007,88
3.08e-007,72
3.1e-007,91
3.12e-007,86
3.14e-007,85
3.16e-007,106
3.18e-007,76
3.2e-007,97
3.22e-007,85
3.24e-007,79
3.26e-007,100
3.28e-007,98
3.3e-007,89
3.32e-007,99
3.34e-007,95
3.36e-007,62
3.38e-007,83
3.4e-007,76
3.42e-007,84
3.44e-007,79
3.46e-007,85
3.48e-007,74
3.5e-007,70
3.52e-007,83
3.54e-007,83
3.56e-007,75
3.58e-007,66
3.6e-007,75
3.62e-007,89
3.64e-007,86
3.66e-007,81
3.68e-007,74
3.7e-007,82
3.72e-007,96
3.74e-007,80
3.76e-007,81
3.78e-007,72
3.8e-007,93
3.82e-007,78
3.84e-007,68
3.86e-007,84
3.88e-007,97
3.9e-007,76
3.92e-007,72
3.94e-007,67
3.96e-007,85
3.98e-007,66
4e-007,74
4.02e-007,55
4.04e-007,64
4.06e-007,77
4.08e-007,49
4.1e-007,60
4.12e-007,77
4.14e-007,83
4.16e-007,77
4.18e-007,68
4.2e-007,71
4.22e-007,70
4.24e-007,79
4.26e-007,89
4.28e-007,66
4.3e-007,83
4.32e-007,71
4.34e-007,88
4.36e-007,57
4.38e-007,63
4.4e-007,67
4.42e-007,75
4.44e-007,64
4.46e-007,64
4.48e-007,64
4.5e-007,74
4.52e-007,62
4.54e-007,56
4.56e-007,66
4.58e-007,66
4.6e-007,65
4.62e-007,57
4.64e-007,74
4.66e-007,67
4.68e-007,65
4.7e-007,53
4.72e-007,68
4.74e-007,53
4.76e-007,55
4.78e-007,58
4.8e-007,76
4.82e-007,47
4.84e-007,60
4.86e-007,69
4.88e-007,71
4.9e-007,54
4.92e-007,64
4.94e-007,78
4.96e-007,52
4.98e-007,57
5e-007,53
5.02e-007,69
5.04e-007,71
5.06e-007,64
5.08e-007,60
5.1e-007,66
5.12e-007,59
5.14e-007,64
5.16e-007,68
5.18e-007,65
5.2e-007,74
5.22e-007,58
5.24e-007,63
5.26e-007,63
5.28e-007,69
5.3e-007,60
5.32e-007,66
5.34e-007,63
5.36e-007,68
5.38e-007,60
5.4e-007,52
5.42e-007,66
5.44e-007,39
5.46e-007,59
5.48e-007,59
5.5e-007,51
5.52e-007,60
5.54e-007,56
5.56e-007,57
5.58e-007,53
5.6e-007,64
5.62e-007,66
5.64e-007,53
5.66e-007,44
5.68e-007,47
5.7e-007,63
5.72e-007,55
5.74e-007,52
5.76e-007,69
5.78e-007,55
5.8e-007,70
5.82e-007,51
5.84e-007,54
5.86e-007,57
5.88e-007,49
5.9e-007,61
5.92e-007,72
5.94e-007,52
5.96e-007,68
5.98e-007,46
6e-007,69
6.02e-007,52
6.04e-007,55
6.06e-007,54
6.08e-007,47
6.1e-007,49
6.12e-007,36
6.14e-007,51
6.16e-007,46
6.18e-007,54
6.2e-007,57
6.22e-007,52
6.24e-007,41
6.26e-007,58
6.28e-007,42
6.3e-007,44
6.32e-007,51
6.34e-007,45
6.36e-007,49
6.38e-007,52
6.4e-007,58
6.42e-007,46
6.44e-007,39
6.46e-007,52
6.48e-007,44
6.5e-007,40
6.52e-007,54
6.54e-007,51
6.56e-007,46
6.58e-007,47
6.6e-007,45
6.62e-007,47
6.64e-007,52
6.66e-007,42
6.68e-007,47
6.7e-007,38
6.72e-007,47
6.74e-007,36
6.76e-007,48
6.78e-007,29
6.8e-007,44
6.82e-007,36
6.84e-007,47
6.86e-007,48
6.88e-007,35
6.9e-007,50
6.92e-007,50
6.94e-007,37
6.96e-007,38
6.98e-007,35
7e-007,44
7.02e-007,52
7.04e-007,39
7.06e-007,48
7.08e-007,35
7.1e-007,41
7.12e-007,45
7.14e-007,39
7.16e-007,38
7.18e-007,32
7.2e-007,42
7.22e-007,39
7.24e-007,42
7.26e-007,35
7.28e-007,48
7.3e-007,39
7.32e-007,46
7.34e-007,46
7.36e-007,38
7.38e-007,43
7.4e-007,39
7.42e-007,44
7.44e-007,38
7.46e-007,38
7.48e-007,31
7.5e-007,43
7.52e-007,42
7.54e-007,27
7.56e-007,33
7.58e-007,31
7.6e-007,36
7.62e-007,28
7.64e-007,31
7.66e-007,35
7.68e-007,27
7.7e-007,42
7.72e-007,38
7.74e-007,39
7.76e-007,37
7.78e-007,31
7.8e-007,24
7.82e-007,42
7.84e-007,38
7.86e-007,32
7.88e-007,30
7.9e-007,31
7.92e-007,34
7.94e-007,38
7.96e-007,37
7.98e-007,23
8e-007,29
8.02e-007,46
8.04e-007,41
8.06e-007,39
8.08e-007,29
8.1e-007,33
8.12e-007,40
8.14e-007,26
8.16e-007,27
8.18e-007,32
8.2e-007,34
8.22e-007,41
8.24e-007,31
8.26e-007,37
8.28e-007,39
8.3e-007,30
8.32e-007,38
8.34e-007,31
8.36e-007,26
8.38e-007,36
8.4e-007,21
8.42e-007,27
8.44e-007,32
8.46e-007,36
8.48e-007,39
8.5e-007,30
8.52e-007,37
8.54e-007,33
8.56e-007,29
8.58e-007,31
8.6e-007,33
8.62e-007,32
8.64e-007,23
8.66e-007,30
8.68e-007,34
8.7e-007,30
8.72e-007,34
8.74e-007,29
8.76e-007,40
