LECROYWRHRO66Zi,58279,Histogram
Segments,1,SegmentSize,993
Segment,TrigTime,TimeSinceSegment1
#1,11-Feb-2016 20:25:48,0                 
Time,Ampl
-9.3e-008,0
-9.2e-008,0
-9.1e-008,0
-9e-008,0
-8.9e-008,0
-8.8e-008,0
-8.7e-008,1
-8.6e-008,0
-8.5e-008,1
-8.4e-008,0
-8.3e-008,0
-8.2e-008,0
-8.1e-008,0
-8e-008,0
-7.9e-008,0
-7.8e-008,0
-7.7e-008,0
-7.6e-008,0
-7.5e-008,0
-7.4e-008,1
-7.3e-008,0
-7.2e-008,0
-7.1e-008,0
-7e-008,0
-6.9e-008,0
-6.8e-008,0
-6.7e-008,0
-6.6e-008,0
-6.5e-008,0
-6.4e-008,0
-6.3e-008,0
-6.2e-008,1
-6.1e-008,1
-6e-008,1
-5.9e-008,0
-5.8e-008,0
-5.7e-008,0
-5.6e-008,1
-5.5e-008,3
-5.4e-008,0
-5.3e-008,0
-5.2e-008,2
-5.1e-008,1
-5e-008,0
-4.9e-008,0
-4.8e-008,0
-4.7e-008,0
-4.6e-008,1
-4.5e-008,1
-4.4e-008,0
-4.3e-008,2
-4.2e-008,1
-4.1e-008,2
-4e-008,1
-3.9e-008,3
-3.8e-008,3
-3.7e-008,1
-3.6e-008,1
-3.5e-008,1
-3.4e-008,2
-3.3e-008,1
-3.2e-008,4
-3.1e-008,4
-3e-008,1
-2.9e-008,4
-2.8e-008,6
-2.7e-008,7
-2.6e-008,9
-2.5e-008,5
-2.4e-008,11
-2.3e-008,7
-2.2e-008,9
-2.1e-008,12
-2e-008,10
-1.9e-008,18
-1.8e-008,29
-1.7e-008,29
-1.6e-008,32
-1.5e-008,25
-1.4e-008,51
-1.3e-008,43
-1.2e-008,59
-1.1e-008,60
-1e-008,70
-9e-009,77
-8e-009,100
-7e-009,90
-6e-009,111
-5e-009,104
-4e-009,124
-3e-009,122
-2e-009,156
-1e-009,155
-1.29e-022,179
1e-009,178
2e-009,188
3e-009,198
4e-009,220
5e-009,227
6e-009,255
7e-009,204
8e-009,249
9e-009,251
1e-008,320
1.1e-008,276
1.2e-008,319
1.3e-008,312
1.4e-008,301
1.5e-008,288
1.6e-008,301
1.7e-008,322
1.8e-008,338
1.9e-008,311
2e-008,308
2.1e-008,283
2.2e-008,327
2.3e-008,284
2.4e-008,285
2.5e-008,297
2.6e-008,263
2.7e-008,302
2.8e-008,289
2.9e-008,289
3e-008,255
3.1e-008,263
3.2e-008,262
3.3e-008,223
3.4e-008,227
3.5e-008,265
3.6e-008,251
3.7e-008,247
3.8e-008,250
3.9e-008,207
4e-008,230
4.1e-008,222
4.2e-008,191
4.3e-008,219
4.4e-008,197
4.5e-008,208
4.6e-008,205
4.7e-008,214
4.8e-008,220
4.9e-008,195
5e-008,190
5.1e-008,180
5.2e-008,182
5.3e-008,173
5.4e-008,179
5.5e-008,181
5.6e-008,178
5.7e-008,165
5.8e-008,165
5.9e-008,155
6e-008,131
6.1e-008,137
6.2e-008,150
6.3e-008,150
6.4e-008,162
6.5e-008,138
6.6e-008,121
6.7e-008,140
6.8e-008,126
6.9e-008,142
7e-008,146
7.1e-008,150
7.2e-008,131
7.3e-008,138
7.4e-008,123
7.5e-008,125
7.6e-008,136
7.7e-008,131
7.8e-008,132
7.9e-008,109
8e-008,108
8.1e-008,138
8.2e-008,122
8.3e-008,112
8.4e-008,120
8.5e-008,108
8.6e-008,118
8.7e-008,102
8.8e-008,106
8.9e-008,124
9e-008,104
9.1e-008,101
9.2e-008,110
9.3e-008,102
9.4e-008,103
9.5e-008,103
9.6e-008,95
9.7e-008,93
9.8e-008,108
9.9e-008,96
1e-007,121
1.01e-007,104
1.02e-007,103
1.03e-007,103
1.04e-007,80
1.05e-007,98
1.06e-007,90
1.07e-007,105
1.08e-007,103
1.09e-007,95
1.1e-007,96
1.11e-007,96
1.12e-007,66
1.13e-007,96
1.14e-007,88
1.15e-007,97
1.16e-007,93
1.17e-007,79
1.18e-007,91
1.19e-007,81
1.2e-007,85
1.21e-007,73
1.22e-007,89
1.23e-007,87
1.24e-007,78
1.25e-007,80
1.26e-007,86
1.27e-007,87
1.28e-007,82
1.29e-007,77
1.3e-007,85
1.31e-007,84
1.32e-007,76
1.33e-007,74
1.34e-007,72
1.35e-007,79
1.36e-007,101
1.37e-007,79
1.38e-007,62
1.39e-007,77
1.4e-007,65
1.41e-007,80
1.42e-007,73
1.43e-007,98
1.44e-007,92
1.45e-007,74
1.46e-007,77
1.47e-007,87
1.48e-007,80
1.49e-007,69
1.5e-007,66
1.51e-007,68
1.52e-007,72
1.53e-007,69
1.54e-007,66
1.55e-007,68
1.56e-007,80
1.57e-007,75
1.58e-007,72
1.59e-007,65
1.6e-007,66
1.61e-007,52
1.62e-007,66
1.63e-007,68
1.64e-007,61
1.65e-007,81
1.66e-007,70
1.67e-007,64
1.68e-007,61
1.69e-007,59
1.7e-007,49
1.71e-007,60
1.72e-007,78
1.73e-007,60
1.74e-007,59
1.75e-007,67
1.76e-007,55
