LECROYWRHRO66Zi,58279,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2013 15:24:57,0                 
Time,Ampl
-6.00222e-005,0.00946456
-5.98222e-005,0.00866492
-5.96222e-005,0.00746546
-5.94222e-005,0.0102642
-5.92222e-005,0.010664
-5.90222e-005,0.00906474
-5.88222e-005,0.00466671
-5.86222e-005,0.0110638
-5.84222e-005,0.0110638
-5.82222e-005,0.00906474
-5.80222e-005,0.00786528
-5.78222e-005,0.0102642
-5.76222e-005,0.0082651
-5.74222e-005,0.010664
-5.72222e-005,0.0102642
-5.70222e-005,0.00866492
-5.68222e-005,0.00906474
-5.66222e-005,0.0110638
-5.64222e-005,0.00746546
-5.62222e-005,0.00946456
-5.60222e-005,0.00946456
-5.58222e-005,0.0126631
-5.56222e-005,0.0122633
-5.54222e-005,0.0110638
-5.52222e-005,0.0126631
-5.50222e-005,0.0130629
-5.48222e-005,0.0142624
-5.46222e-005,0.0134628
-5.44222e-005,0.0122633
-5.42222e-005,0.0134628
-5.40222e-005,0.0122633
-5.38222e-005,0.0126631
-5.36222e-005,0.0134628
-5.34222e-005,0.0114637
-5.32222e-005,0.0122633
-5.30222e-005,0.0126631
-5.28222e-005,0.0134628
-5.26222e-005,0.0138626
-5.24222e-005,0.0134628
-5.22222e-005,0.0130629
-5.20222e-005,0.0150621
-5.18222e-005,0.0138626
-5.16222e-005,0.0110638
-5.14222e-005,0.0130629
-5.12222e-005,0.0150621
-5.10222e-005,0.0142624
-5.08222e-005,0.0154619
-5.06222e-005,0.0142624
-5.04222e-005,0.0162615
-5.02222e-005,0.0146622
-5.00222e-005,0.0146622
-4.98222e-005,0.0170612
-4.96222e-005,0.0114637
-4.94222e-005,0.0110638
-4.92222e-005,0.0122633
-4.90222e-005,0.0138626
-4.88222e-005,0.0178608
-4.86222e-005,0.0150621
-4.84222e-005,0.0182606
-4.82222e-005,0.0134628
-4.80222e-005,0.0170612
-4.78222e-005,0.0146622
-4.76222e-005,0.0118635
-4.74222e-005,0.0154619
-4.72222e-005,0.0150621
-4.70222e-005,0.0170612
-4.68222e-005,0.0170612
-4.66222e-005,0.0162615
-4.64222e-005,0.0162615
-4.62222e-005,0.0150621
-4.60222e-005,0.0166613
-4.58222e-005,0.0170612
-4.56222e-005,0.017461
-4.54222e-005,0.0210594
-4.52222e-005,0.0130629
-4.50222e-005,0.0150621
-4.48222e-005,0.0154619
-4.46222e-005,0.0182606
-4.44222e-005,0.0178608
-4.42222e-005,0.0158617
-4.40222e-005,0.0186604
-4.38222e-005,0.0134628
-4.36222e-005,0.0170612
-4.34222e-005,0.0150621
-4.32222e-005,0.0138626
-4.30222e-005,0.0146622
-4.28222e-005,0.0158617
-4.26222e-005,0.0158617
-4.24222e-005,0.0162615
-4.22222e-005,0.0138626
-4.20222e-005,0.0158617
-4.18222e-005,0.0122633
-4.16222e-005,0.0146622
-4.14222e-005,0.0110638
-4.12222e-005,0.0122633
-4.10222e-005,0.0110638
-4.08222e-005,0.0122633
-4.06222e-005,0.0126631
-4.04222e-005,0.0118635
-4.02222e-005,0.00946456
-4.00222e-005,0.0118635
-3.98222e-005,0.0110638
-3.96222e-005,0.00786528
-3.94222e-005,0.0122633
-3.92222e-005,0.00786528
-3.90222e-005,0.00786528
-3.88222e-005,0.00626599
-3.86222e-005,0.010664
-3.84222e-005,0.00986438
-3.82222e-005,0.00706563
-3.80222e-005,0.0082651
-3.78222e-005,0.00706563
-3.76222e-005,0.00786528
-3.74222e-005,0.00386707
-3.72222e-005,0.00546635
-3.70222e-005,0.00666581
-3.68222e-005,0.00626599
-3.66222e-005,0.00746546
-3.64222e-005,0.00466671
-3.62222e-005,0.00746546
-3.60222e-005,0.00586617
-3.58222e-005,0.00546635
-3.56222e-005,0.00546635
-3.54222e-005,0.00666581
-3.52222e-005,0.00346725
-3.50222e-005,0.00426689
-3.48222e-005,0.00466671
-3.46222e-005,-0.000930783
-3.44222e-005,0.00386707
-3.42222e-005,-0.00292989
-3.40222e-005,0.00306743
-3.38222e-005,-0.0013306
-3.36222e-005,-0.0013306
-3.34222e-005,0.000668501
-3.32222e-005,0.00026868
-3.30222e-005,0.00306743
-3.28222e-005,-0.000930783
-3.26222e-005,-0.000131141
-3.24222e-005,-0.00332971
-3.22222e-005,-0.000530962
-3.20222e-005,0.00386707
-3.18222e-005,0.00026868
-3.16222e-005,0.00146814
-3.14222e-005,-0.000131141
-3.12222e-005,-0.000131141
-3.10222e-005,0.00146814
-3.08222e-005,-0.0013306
-3.06222e-005,-0.00452917
-3.04222e-005,0.0026676
-3.02222e-005,-0.00173042
-3.00222e-005,-0.000131141
-2.98222e-005,-0.00332971
-2.96222e-005,0.000668501
-2.94222e-005,0.00026868
-2.92222e-005,-0.00253007
-2.90222e-005,-0.00173042
-2.88222e-005,-0.00412935
-2.86222e-005,-0.00292989
-2.84222e-005,-0.000131141
-2.82222e-005,-0.0013306
